latitude,longitude,mag
36.5275,-121.0903333,2.51
37.5376667,-118.8616667,3.03
37.6375,-118.8855,2.64
46.1975,-122.1861667,2.8
36.031,-117.784,2.7
34.7601667,-121.4433333,2.61
37.456,-118.8743333,2.93
33.161,-115.618,3.03
32.2533333,-115.3636667,2.78
46.7713333,-122.8441667,3.2
39.785,-104.871,2.9
38.2603333,-119.3346667,3.1
33.036,-115.877,3.21
36.6046667,-121.2093333,3.28
35.767,-117.734,2.78
37.5493333,-118.7775,3.5
40.247,-107.819,2.7
34.6783333,-118.9446667,2.88
40.429,-124.3745,3.65
35.335,-118.514,3.04
35.499,-97.257,2.6
35.981,-118.313,2.85
46.3521667,-122.2413333,3.5
31.749,-115.989,2.55
37.7116667,-118.8751667,2.62
44.5328,-115.2523,2.5
37.6448333,-118.9503333,3.2
44.417,-113.895,3.5
34.3,-118.567,3.39
46.1981667,-122.1871667,2.9
34.8115,-120.4446667,2.59
36.4621667,-121.04,2.85
31.59536042,-104.0050469,2.9
35.213,-118.9243333,2.71
31.9641667,-116.8886667,3.5
37.8361,-118.2159,3.0
37.8361,-118.214,3.1
38.209,-117.7394,3.3
39.6983333,-111.2258333,2.67
38.6723,-97.4877,2.5
34.0341667,-117.2448333,2.65
36.966,-121.8286667,3.6
37.533,-118.883,3.9
46.7066667,-122.7656667,2.8
37.1166667,-117.465,2.52
35.2795,-92.3345,2.5
38.792,-122.7785,2.92
36.3087,-96.6483,3.0
32.5565,-117.4863333,2.96
33.1183333,-116.4606667,2.56
37.2293,-97.912,2.7
38.7836667,-122.7503333,3.25
35.3411667,-118.5101667,2.91
38.3662,-115.8242,3.0
36.7126667,-121.3455,2.57
34.465,-118.955,3.57
37.5385,-118.4673333,2.82
34.9803333,-116.6365,3.23
32.6616667,-115.6446667,2.61
40.7236667,-124.1923333,2.77
31.5145,-115.8563333,4.36
36.7224,-98.7304,2.8
40.3803333,-124.9651667,2.86
37.662,-117.7251667,3.8
32.3231667,-115.1741667,2.53
35.722,-116.691,2.62
35.812,-117.741,2.63
33.9056667,-116.2791667,2.5
44.888,-114.414,3.4
34.964,-116.561,3.33
43.786,-105.244,3.4
36.623,-97.6762,2.7
40.037,-122.9055,2.76
38.8145,-122.8165,2.97
34.921,-116.835,2.83
34.047,-118.073,2.6
44.6078333,-110.3163333,2.85
33.546,-116.675,3.39
28.851,-112.697,4.0
34.325,-118.469,2.67
34.3295,-116.6443333,2.87
36.206,-117.901,3.24
32.122,-116.357,2.54
42.555,-111.406,2.7
